Origen,Destino,Aerolinea,ruta,n_train
AER,TUC,JETSMART AIRLINES S.A.,AER|TUC|JETSMART AIRLINES S.A.,658
AER,UIS,AEROLINEAS ARGENTINAS SA,AER|UIS|AEROLINEAS ARGENTINAS SA,864
AER,USU,AEROLINEAS ARGENTINAS SA,AER|USU|AEROLINEAS ARGENTINAS SA,4383
AER,USU,FB LÍNEAS AÉREAS - FLYBONDI,AER|USU|FB LÍNEAS AÉREAS - FLYBONDI,173
AER,USU,JETSMART AIRLINES S.A.,AER|USU|JETSMART AIRLINES S.A.,311
AER,VIE,AEROLINEAS ARGENTINAS SA,AER|VIE|AEROLINEAS ARGENTINAS SA,325
BAR,AER,AEROLINEAS ARGENTINAS SA,BAR|AER|AEROLINEAS ARGENTINAS SA,6811
BAR,CBA,AEROLINEAS ARGENTINAS SA,BAR|CBA|AEROLINEAS ARGENTINAS SA,875
BAR,CBA,FB LÍNEAS AÉREAS - FLYBONDI,BAR|CBA|FB LÍNEAS AÉREAS - FLYBONDI,360
BAR,ECA,AEROLINEAS ARGENTINAS SA,BAR|ECA|AEROLINEAS ARGENTINAS SA,106
BAR,ECA,JETSMART AIRLINES S.A.,BAR|ECA|JETSMART AIRLINES S.A.,1
BAR,ESQ,AEROLINEAS ARGENTINAS SA,BAR|ESQ|AEROLINEAS ARGENTINAS SA,1
BAR,EZE,AEROLINEAS ARGENTINAS SA,BAR|EZE|AEROLINEAS ARGENTINAS SA,2273
BAR,EZE,FB LÍNEAS AÉREAS - FLYBONDI,BAR|EZE|FB LÍNEAS AÉREAS - FLYBONDI,976
BAR,IGU,JETSMART AIRLINES S.A.,BAR|IGU|JETSMART AIRLINES S.A.,2
BAR,MDP,AEROLINEAS ARGENTINAS SA,BAR|MDP|AEROLINEAS ARGENTINAS SA,1
BAR,NEU,AEROLINEAS ARGENTINAS SA,BAR|NEU|AEROLINEAS ARGENTINAS SA,2
BAR,NEU,JETSMART AIRLINES S.A.,BAR|NEU|JETSMART AIRLINES S.A.,2
BAR,ROS,AEROLINEAS ARGENTINAS SA,BAR|ROS|AEROLINEAS ARGENTINAS SA,285
BAR,ROS,JETSMART AIRLINES S.A.,BAR|ROS|JETSMART AIRLINES S.A.,2
BAR,TUC,AEROLINEAS ARGENTINAS SA,BAR|TUC|AEROLINEAS ARGENTINAS SA,35
BAR,USU,JETSMART AIRLINES S.A.,BAR|USU|JETSMART AIRLINES S.A.,3
BCA,AER,AEROLINEAS ARGENTINAS SA,BCA|AER|AEROLINEAS ARGENTINAS SA,2330
BCA,EZE,AEROLINEAS ARGENTINAS SA,BCA|EZE|AEROLINEAS ARGENTINAS SA,81
