iter	Passed	Remaining
401	24172	35958
402	24245	35917
403	24311	35865
404	24376	35811
405	24427	35738
406	24489	35680
407	24542	35610
408	24606	35556
409	24665	35494
410	24732	35443
411	24805	35402
412	24878	35360
413	24950	35316
414	25008	35253
415	25076	35203
416	25137	35144
417	25204	35093
418	25261	35028
419	25317	34962
420	25383	34909
421	25453	34863
422	25513	34801
423	25582	34753
424	25648	34700
425	25713	34646
426	25786	34603
427	25857	34557
428	25929	34511
429	25998	34462
430	26068	34415
431	26136	34364
432	26206	34317
433	26268	34258
434	26333	34203
435	26399	34149
436	26471	34104
437	26536	34048
438	26608	34002
439	26673	33947
440	26742	33897
441	26805	33839
442	26886	33805
443	26965	33767
444	27034	33717
445	27111	33677
446	27187	33634
447	27256	33584
448	27327	33535
449	27410	33501
450	27473	33443
451	27534	33382
452	27605	33333
453	27685	33295
454	27764	33256
455	27846	33220
456	27919	33173
457	27989	33123
458	28063	33077
459	28135	33028
460	28199	32970
461	28271	32922
462	28333	32862
463	28410	32819
464	28497	32787
465	28569	32738
466	28638	32686
467	28704	32629
468	28785	32590
469	28843	32526
470	28903	32463
471	28973	32410
472	29039	32355
473	29116	32310
474	29187	32259
475	29252	32202
476	29316	32144
477	29391	32096
478	29455	32038
479	29526	31986
480	29597	31935
481	29658	31873
482	29723	31815
483	29789	31758
484	29844	31690
485	29907	31630
486	29969	31569
487	30028	31505
488	30108	31463
489	30178	31410
490	30237	31345
491	30291	31277
492	30357	31219
493	30405	31144
494	30465	31081
495	30523	31015
496	30598	30967
497	30676	30923
498	30753	30876
499	30813	30813
500	30870	30747
501	30924	30678
502	31001	30632
503	31069	30576
504	31141	30524
505	31200	30460
506	31265	30402
507	31317	30331
508	31367	30258
509	31443	30210
510	31520	30163
511	31592	30111
512	31659	30054
513	31722	29994
514	31791	29939
515	31859	29883
516	31919	29820
517	31992	29769
518	32066	29718
519	32135	29663
520	32206	29610
521	32275	29554
522	32344	29499
523	32424	29454
524	32484	29390
525	32554	29335
526	32622	29280
527	32696	29228
528	32779	29185
529	32847	29128
530	32921	29077
531	33001	29031
532	33077	28981
533	33140	28920
534	33202	28857
535	33256	28789
536	33326	28733
537	33386	28670
538	33459	28617
539	33526	28559
540	33597	28504
541	33678	28459
542	33749	28404
543	33825	28353
544	33892	28295
545	33965	28242
546	34025	28178
547	34080	28110
548	34152	28056
549	34220	27998
550	34276	27931
551	34341	27871
552	34407	27812
553	34462	27744
554	34537	27691
555	34597	27628
556	34668	27572
557	34743	27520
558	34808	27460
559	34870	27398
560	34940	27342
561	34998	27276
562	35074	27224
563	35136	27162
564	35212	27110
565	35283	27055
566	35361	27004
567	35440	26954
568	35516	26902
569	35582	26843
570	35647	26782
571	35733	26737
572	35814	26688
573	35899	26643
574	35948	26570
575	36010	26508
576	36076	26447
577	36145	26389
578	36215	26332
579	36285	26275
580	36347	26212
581	36409	26149
582	36472	26087
583	36538	26027
584	36606	25968
585	36681	25915
586	36759	25863
587	36827	25804
588	36883	25737
589	36957	25682
590	37025	25623
591	37092	25564
592	37164	25507
593	37238	25452
594	37307	25394
595	37374	25334
596	37450	25280
597	37510	25215
598	37574	25154
599	37639	25093
600	37704	25032
601	37773	24972
602	37844	24916
603	37915	24858
604	37986	24801
605	38044	24735
606	38119	24680
607	38187	24620
608	38263	24566
609	38334	24509
610	38409	24454
611	38476	24393
612	38557	24342
613	38622	24280
614	38679	24214
615	38739	24149
616	38816	24095
617	38888	24037
618	38961	23980
619	39030	23921
620	39084	23853
621	39134	23782
622	39186	23713
623	39261	23657
624	39345	23607
625	39410	23545
626	39468	23479
627	39549	23427
628	39621	23369
629	39691	23311
630	39738	23238
631	39799	23174
632	39860	23110
633	39920	23045
634	39999	22992
635	40070	22933
636	40142	22875
637	40203	22811
638	40265	22747
639	40320	22680
640	40394	22623
641	40461	22562
642	40535	22505
643	40597	22441
644	40665	22381
645	40744	22327
646	40814	22268
647	40877	22205
648	40950	22147
649	41021	22088
650	41087	22026
651	41148	21962
652	41207	21897
653	41278	21838
654	41382	21796
655	41464	21743
656	41527	21680
657	41593	21618
658	41651	21552
659	41725	21495
660	41791	21433
661	41866	21375
662	41936	21316
663	42004	21255
664	42067	21192
665	42131	21128
666	42196	21066
667	42257	21002
668	42324	20941
669	42403	20885
670	42467	20822
671	42535	20761
672	42608	20702
673	42678	20642
674	42761	20588
675	42840	20533
676	42902	20468
677	42969	20407
678	43041	20348
679	43101	20282
680	43167	20221
681	43231	20157
682	43304	20098
683	43377	20039
684	43455	19983
685	43523	19922
686	43595	19862
687	43667	19802
688	43736	19741
689	43796	19676
690	43864	19615
691	43943	19558
692	44012	19497
693	44060	19427
694	44132	19367
695	44194	19303
696	44267	19243
697	44319	19175
698	44378	19110
