iter	RMSE
0	36.60369854
1	34.68311363
2	33.02766444
3	31.44847424
4	29.73076836
5	28.23018564
6	26.92875678
7	25.77588421
8	24.79995105
9	23.89926744
10	23.15338851
11	22.50355429
12	21.92735754
13	21.46302785
14	21.04696612
15	20.68804875
16	20.39721773
17	20.11397688
18	19.82339671
19	19.60380916
20	19.42305683
21	19.16260164
22	18.988733
23	18.8161916
24	18.67826396
25	18.48852988
26	18.35736253
27	18.18869758
28	18.05329628
29	17.93473898
30	17.82063368
31	17.70396085
32	17.62716685
33	17.54895057
34	17.43559376
35	17.34888226
36	17.26002591
37	17.16137841
38	17.10912764
39	17.05539238
40	16.9981216
41	16.9468178
42	16.88822358
43	16.86135308
44	16.81819632
45	16.77240173
46	16.73755906
47	16.69843666
48	16.65373868
49	16.58313711
50	16.5429962
51	16.4631237
52	16.43506854
53	16.38742303
54	16.34499861
55	16.31880084
56	16.26475728
57	16.20381222
58	16.17791123
59	16.14959868
60	16.12536053
61	16.067711
62	16.02012661
63	15.98667361
64	15.96789689
65	15.94241369
66	15.91401675
67	15.88240219
68	15.86121089
69	15.83276488
70	15.80601469
71	15.78875926
72	15.77893619
73	15.76077163
74	15.74372779
75	15.72367153
76	15.70066429
77	15.68191511
78	15.65703192
79	15.62394442
80	15.60217869
81	15.57317148
82	15.56169604
83	15.54125004
84	15.52530302
85	15.50062213
86	15.48067924
87	15.47368066
88	15.46362692
89	15.44974203
90	15.43789344
91	15.41481202
92	15.39936558
93	15.38181207
94	15.37386671
95	15.36261762
96	15.35597551
97	15.34761235
98	15.327833
99	15.30788385
100	15.30493288
101	15.29369956
102	15.28884287
103	15.28537713
104	15.27647782
105	15.27504391
106	15.26806436
107	15.26159954
108	15.23865653
109	15.22211046
110	15.20854716
111	15.1998763
112	15.18696245
113	15.17545983
114	15.17232229
115	15.17052108
116	15.16179331
117	15.15701894
118	15.15410212
119	15.14608085
120	15.13594257
121	15.12722934
122	15.12300368
123	15.12087171
124	15.11665981
125	15.10720116
126	15.10443831
127	15.10392587
128	15.08848858
129	15.07803682
130	15.07260861
131	15.06567065
132	15.05117902
133	15.0436954
134	15.03436872
135	15.02763268
136	15.02136064
137	15.01486417
138	15.01443907
139	15.00969112
140	15.00270481
141	14.99969729
142	14.99414807
143	14.98801965
144	14.9818507
145	14.97789706
146	14.97741407
147	14.97297837
148	14.96838683
149	14.96429732
150	14.96372581
151	14.96009725
152	14.9522471
153	14.94465765
154	14.93814248
155	14.93606634
156	14.93391172
157	14.92290608
158	14.92282739
159	14.91798409
160	14.91407793
161	14.91183071
162	14.91092523
163	14.90979066
164	14.90733119
165	14.90440223
166	14.89786187
167	14.89359769
168	14.88802646
169	14.88571494
170	14.88540121
171	14.87515283
172	14.87342019
173	14.8670143
174	14.86318889
175	14.85968217
176	14.85512056
177	14.85383485
178	14.84672974
179	14.84048177
180	14.83391057
181	14.83004932
182	14.82406557
183	14.82120078
184	14.81748219
185	14.81326803
186	14.80984301
187	14.80532569
188	14.8046308
189	14.79928345
190	14.79577693
191	14.79149707
192	14.78849252
193	14.78770073
194	14.78641117
195	14.78638185
196	14.78515679
197	14.78012234
198	14.77591854
199	14.77170267
200	14.77011242
201	14.76499987
202	14.76467086
203	14.75740037
204	14.75451571
205	14.75020451
206	14.74682676
207	14.74656605
208	14.74524829
209	14.7439476
210	14.74231184
211	14.73912466
212	14.73686212
213	14.73058571
214	14.72688625
215	14.7257139
216	14.71962244
217	14.71704153
218	14.71487497
219	14.71158341
220	14.70795652
221	14.70432186
222	14.70283721
223	14.69920488
224	14.69615452
225	14.69162709
226	14.68837064
227	14.68431184
228	14.68246115
229	14.67860981
230	14.67853891
231	14.67400261
232	14.67081052
233	14.67020499
234	14.66496898
235	14.66189627
236	14.6602554
237	14.65975735
238	14.6545872
239	14.65199142
240	14.65107598
241	14.64938209
242	14.64470121
243	14.64208184
244	14.63977707
245	14.6396249
246	14.63877323
247	14.63589814
248	14.63582922
249	14.63516505
250	14.63272323
251	14.63027896
252	14.62788963
253	14.62584241
254	14.62521542
255	14.62273134
256	14.6216195
257	14.62148841
258	14.62011261
259	14.62009092
